ET;uADR;SBUS;DBUS;ALU;RBUS;MEM;OTHER;SUCCESSOR
NOP;6D;NONE;NONE;NONE;NONE;NOP;NOP;JUMP INTR_TEST
;6E;NONE;NONE;NONE;NONE;NOP;NOP;NONE
HALT;6F;NONE;NONE;NONE;NONE;NOP;NOP;NONE
;70;NONE;NONE;NONE;NONE;NOP;NOP;NONE
WAIT;71;NONE;NONE;NONE;NONE;NOP;NOP;IF INTR JUMP INT ELSE STEP
;72;NONE;NONE;NONE;NONE;NOP;NOP;JUMP WAIT
PUSH_PC;73;PdPC;Pd0;SUM;PmMDR;NOP;-2SP;STEP
;74;PdSP;Pd0;SUM;PmADR;WRITE;NOP;JUMP INTR_TEST
POP_PC;75;PdSP;Pd0;SUM;PmADR;READ;NOP;STEP
;76;PdMDR;Pd0;SUM;PmPC;NOP;+2SP;JUMP INTR_TEST
PUSH_FLAG;77;PdFLAG;Pd0;SUM;PmMDR;NOP;-2SP;STEP
;78;PdSP;Pd0;SUM;PmADR;WRITE;NOP;JUMP INTR_TEST
POP_FLAG;79;PdSP;Pd0;SUM;PmADR;READ;+2SP;STEP
;7A;PdMDR;Pd0;SUM;NONE;NOP;PmFLAG;JUMP INTR_TEST
RET;7B;PdSP;Pd0;SUM;PmADR;READ;NOP;STEP
;7C;PdMDR;Pd0;SUM;PmPC;NOP;+2SP;JUMP INTR_TEST
RETI;7D;PdSP;Pd0;SUM;PmADR;READ;+2SP;STEP
;7E;PdMDR;Pd0;SUM;NONE;NOP;PmFLAG;STEP
;7F;PdSP;Pd0;SUM;PmADR;READ;+2SP;STEP
;80;PdMDR;Pd0;SUM;PmPC;NOP;NOP;JUMP INTR_TEST
INTR_TEST;81;NONE;NONE;NONE;NONE;NOP;NOP;IF INTR JUMP INT ELSE STEP
;82;NONE;NONE;NONE;NONE;NOP;NOP;JUMP IF
POWER_FAIL;83;NONE;NONE;NONE;NONE;NOP;A(1)BE0;JUMP INT
ILLEGAL;84;NONE;NONE;NONE;NONE;NOP;A(1)BE1;JUMP INT
INT;85;PdPC;Pd0;SUM;PmMDR;NOP;(INTA, -2SP);STEP
;86;PdSP;Pd0;SUM;PmADR;WRITE;NOP;STEP
;87;PdFLAG;Pd0;SUM;PmMDR;NOP;-2SP;STEP
;88;PdSP;Pd0;SUM;PmADR;WRITE;NOP;STEP
;89;PdIVR;Pd0;SUM;PmPC;NOP;NOP;STEP
;8A;Pd0;Pd0;SUM;PmPC;NOP;NOP;JUMP IF
